ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
9,7章,分詞,-,-,169,基本,-,F 105,お待たせしてしまって申し訳ありません。,I'm sorry to ( )( )( )( ).,-,I'm sorry to have kept you waiting.,have / kept / you / waiting,「待たせる」は「あなたを待っている状態にしておく」と考え、to不定詞の中をVOCで表す。「待たせておく」動作が継続しているので時制はどうする?,to不定詞の中での (S) VOCのCが現在分詞。O(you) と C (waiting)は能動の関係。受動の関係ではない (×keep you waited)。「これまでずっと待たせておいた」という意味で、完了不定詞 (to have kept...)にする。,keep A doing 「Aに〜させ続ける」,-,keep / inform / see / hear / call
10,7章,分詞,-,-,170,基本,-,F 105,何か進展があれば随時私に知らせておいてください。,Please (k )( )( ) of any developments.,k,Please keep me informed of any developments.,keep / me / informed,「私」が「知らされている」状態を「保つ」と表現する。受動の関係を含む、VOCの表現。,(S) VOCのCが過去分詞。○ (me)とC (informed) は受動の関係。Keep me informed. (随時私に知らせておいて。),be informed of A 「Aについて知らされている」,-,keep / inform / see / hear / call
11,7章,分詞,-,-,171,基本,-,F 106,昨夜のコンサートで先生が踊っているのを見た。,I ( )( ) teacher ( ) at the concert last night.,-,I saw my teacher dancing at the concert last night.,saw / my / dancing,「先生」が「踊っている」という能動の関係を含む〈知覚動詞+O+C〉の表現。,知覚動詞+○+現在分詞。○(my teacher) と C (dancing) は能動の関係。,-,-,keep / inform / see / hear / call
12,7章,分詞,-,-,172,基本,-,F 106,私は名前を呼ばれて辺りを見回した。,I ( ) my ( )(c ) and looked around.,c,I heard my name called and looked around.,heard / name / called,「名前を呼ばれる」は「名前が呼ばれるのが聞こえる」と表現する。受動の関係を含む〈知覚動詞+O+C〉の表現。,知覚動詞+○+過去分詞。O(my name) と C (called) は受動の関係。I heard my name called. (自分の名前が呼ばれるのが聞こえた。),look around 「見回す」,-,keep / inform / see / hear / call
13,7章,分詞,-,-,173,基本,-,-,昨夜のコンサートで先生は踊っているところを見られた。,My teacher ( )( )( ) at the concert last night.,-,My teacher was seen dancing at the concert last night.,was / seen / dancing,〈知覚動詞+○+現在分詞〉を受動態にすると?,A is seen doing 「Aは~しているところを見られる」 一動作の途中の一時点。see A doing 「Aが〜しているのが見える」の受動態。,-,A is seen to do 「Aは〜するのを見られる」 一動作の最初から最後まで。,keep / inform / see / hear / call
14,7章,分詞,-,-,174-1,基本,-,F 107,写真を撮られるのが好きではない人もいる。,Some people do not like ( ) their picture ( ).,-,Some people do not like having their picture taken.,having / taken,「写真を撮られる→自身の写真を撮ってもらう」。「･･･を〜してもらう」という使役を表す表現は?,have [get] +○+過去分詞は、以下の3つの意味を表す。①使役・依頼 「A(物)を〜してもらう」、②被害 「A(物)を~される」、③完了「A(物事)を(自分で)~してしまう」。Aは目的語(○)。Aと過去分詞は「Aが〜される」という関係(A is done)。,-,-,steal / finish / understand / hear / tear / run / cross
15,7章,分詞,-,-,174-2,基本,-,F 107,私はローマの地下鉄で財布を盗まれた。,I (h ) my wallet ( ) on the subway in Rome.,h,I had my wallet stolen on the subway in Rome.,had / stolen,「･･･を〜される」という被害を表す表現は?,〈have+O+過去分詞〉が被害を表す。,steal 「~を盗む」 一活用は steal-stole-stolen,-,steal / finish / understand / hear / tear / run / cross
16,7章,分詞,-,-,174-3,基本,-,-,明日までにこのレポートを仕上げる必要がある。,I need to (g ) this paper ( ) by tomorrow.,g,I need to get this paper finished [done] by tomorrow.,get / finished [done],「レポートを仕上げる→レポートを終えてしまう」という完了を表す表現。,〈get+O+過去分詞〉が完了を表す。,get A finished / get A done 「Aを終わらせる」,-,steal / finish / understand / hear / tear / run / cross
17,7章,分詞,-,-,175,発展,-,F 107,私は何とか英語で意思を伝えることができた。,I managed to ( )( )( ) in English.,-,I managed to make myself understood in English.,make / myself / understood,「意思を伝える→自分自身を(相手から) 理解されるようにする」と表現する。,make oneself understood 「自分の言うことを理解してもらう」,manage to do 「何とか〜する」,-,steal / finish / understand / hear / tear / run / cross
18,7章,分詞,-,-,176,発展,-,F 107,騒音の中、私は自分の声を届けるために大声を出さなければならなかった。,I had to shout to ( )( )( ) above the noise.,-,I had to shout to make myself heard above the noise.,make / myself / heard,「自分の声を届ける→自分自身を(相手に)聞かれるようにする」と表現する。,make oneself heard「自分の声を聞かせる」,above [over] the noise 「騒音より大きく、騒音に負けないくらいに」,-,steal / finish / understand / hear / tear / run / cross
19,7章,分詞,-,-,177,基本,-,F 112,ケンは涙を流しながらその映画を見た。,Ken watched the movie ( )(t )(r ) down his face.,t / r,Ken watched the movie with tears running down his face.,with / tears / running,「涙を流しながら→ 涙が流れている状態で」と表現する。「涙」が「流れる」 という能動の関係だから分詞の形は?,with A doing 「Aが〜している状態で」。Aと現在分詞は能動の関係 (A is doing)。「~している状態で」という付帯状況。,tears run down A 「Aを涙が流れ落ちる」 - tears は複数形,-,steal / finish / understand / hear / tear / run / cross
20,7章,分詞,-,-,178,基本,-,F 112,その女性は腕を組んで立っている。,The woman is standing ( ) her (a )( ).,a,The woman is standing with her arms crossed [folded].,with / arms / crossed [folded],「腕を組んで→ 腕が組まれた状態で」と表現する。「腕」が「組まれる」という受動の関係だから分詞の形は?,with A done 「Aが〜された状態で」。Aと過去分詞は受動の関係 (A is done)。「~された状態で」という付帯状況。,cross one's arms / fold one's arms 「腕を組む」,-,steal / finish / understand / hear / tear / run / cross
21,7章,分詞,-,-,179,基本,-,-,彼らは今週末の吹奏楽演奏会の練習で忙しい。,They (a )( )( ) for the brass band concert this weekend.,a,They are busy practicing for the brass band concert this weekend.,are / busy / practicing,「練習で忙しい→ 練習するのに忙しい」と表現する。,be busy (in) doing 「~するのに忙しい」,-,-,steal / finish / understand / hear / tear / run / cross
22,7章,分詞,-,-,180,基本,-,F 108,多くの子どもはスクリーンを見るのに時間を使い過ぎだ。,Many children ( )( )( )( )( )( ) screens.,-,Many children spend too much time looking at screens.,spend / too / much / time / looking / at,「スクリーンを見ながらあまりにも多くの時間を過ごす」と表現する。,spend A (in) doing 「~してA(時間)を過ごす、〜してA(金・労力)を費やす」,look at a screen 「(スマホなどの) スクリーン [画面]を見る」,-,spend / look at / difficulty / see
23,7章,分詞,-,-,181,基本,-,-,多くの家庭が子どもの教育費の支払いに苦労している。,Many families ( )(d )( )( ) their children's education.,d,Many families have difficulty paying for their children's education.,have / difficulty / paying / for,「支払いに苦労している→支払うのに困難を持っている」と表現する。,have difficulty [trouble] (in) doing 「~するのに苦労する」,children's education 「子どもの教育」,-,spend / look at / difficulty / see
24,7章,分詞,-,-,182,基本,-,F 108,その男性はカフェで新聞を読みながらコーヒーを飲んでいる。,"The man is drinking coffee, ( )( )( ) in a café.",-,"The man is drinking coffee(,) reading a newspaper in a café.",reading / a / newspaper,2つの事柄が同時に起こっているときに使う構文は? 「~しながら･･･」,分詞句が副詞の働きをするものを分詞構文と呼ぶ。分詞構文がどういう意味を表すかは文脈による。この文では「~しながら」という付帯状況を表している。分詞構文の前のコンマは付けても付けなくてもよい。,-,-,spend / look at / difficulty / see
25,7章,分詞,-,-,183,基本,-,F 108,アプリの使い方がわからず、友達に助けを求めた。,"( )( )( )( ) use the app, I asked my friends for help.",-,"Not knowing how to use the app, I asked my friends for help.",Not / knowing / how / to,「使い方がわからず→ 使い方を知らないので」と表現する。Because [Since] I don't know... と同じ意味を分詞構文で表すと? 否定形の分詞構文の形は?,"分詞構文を否定形にする場合は、分詞の直前に not または never を置く。Because I didn't know how to use the app, I asked my friends for help. → Not knowing how to use the app, I asked my friends for help. 否定形の分詞構文。",-,-,spend / look at / difficulty / see
